OBJECTID,BlockLot,PermitNum,NEIGHBOR,DateIssue,Converted,Year,Longitude,Latitude
1421071,0002 016,USE2020-51648,EASTERWOOD,6/16/20,6/16/20 0:00,2020,-76.64833768,39.30953366
1421318,0005 055,USE2019-53739,SANDTOWN-WINCHESTER,3/5/20,3/5/20 0:00,2020,-76.64443705,39.30944832
1421426,0007 040,USE2020-51972,EASTERWOOD,8/26/20,8/26/20 0:00,2020,-76.64917881,39.30792982
1421683,0012 014,USE2020-51580,EASTERWOOD,4/3/20,4/3/20 0:00,2020,-76.64950301,39.3076214
1421918,0016 009,USE2020-50259,SANDTOWN-WINCHESTER,1/24/20,1/24/20 0:00,2020,-76.64369644,39.30719956
1422133,0020 009,USE2020-50032,SANDTOWN-WINCHESTER,1/16/20,1/16/20 0:00,2020,-76.64649588,39.30580363
1422599,0027 025,USE2019-52563,SANDTOWN-WINCHESTER,6/26/20,6/26/20 0:00,2020,-76.64499516,39.30522403
1422792,0032 034,USE2020-51084,SANDTOWN-WINCHESTER,3/24/20,3/24/20 0:00,2020,-76.64577212,39.30391878
1423549,0047 052,USE2020-53201,BRIDGEVIEW/GREENLAWN,8/24/20,8/24/20 0:00,2020,-76.65332718,39.3011948
1423699,0050 085,USE2020-50481,SANDTOWN-WINCHESTER,3/10/20,3/10/20 0:00,2020,-76.64718484,39.30111528
1423754,0053 051,USE2020-51333,SANDTOWN-WINCHESTER,5/13/20,5/13/20 0:00,2020,-76.64193379,39.30148685
1423770,0053 070,USE2019-50720,SANDTOWN-WINCHESTER,4/14/20,4/14/20 0:00,2020,-76.64254112,39.30164819
1423786,0054 002,USE2020-50608,SANDTOWN-WINCHESTER,3/9/20,3/9/20 0:00,2020,-76.64141364,39.30126163
1423942,0096 070,USE2019-56420,HARLEM PARK,1/24/20,1/24/20 0:00,2020,-76.64650734,39.29661499
1423972,0055C015,USE2020-54597,SANDTOWN-WINCHESTER,10/23/20,10/23/20 0:00,2020,-76.63860674,39.30183206
1424402,0061 010,USE2020-50300,SANDTOWN-WINCHESTER,1/23/20,1/23/20 0:00,2020,-76.6432922,39.30073684
1424405,0061 013,USE2020-50301,SANDTOWN-WINCHESTER,1/28/20,1/28/20 0:00,2020,-76.64329814,39.30084019
1424548,0063 067,USE2020-52329,SANDTOWN-WINCHESTER,9/4/20,9/4/20 0:00,2020,-76.6406869,39.30060975
1424820,0071 035,USE2020-51032,MIDTOWN-EDMONDSON,3/18/20,3/18/20 0:00,2020,-76.64901435,39.2993397
1425573,0083 010,USE2019-55209,MIDTOWN-EDMONDSON,6/17/20,6/17/20 0:00,2020,-76.64804337,39.29773529
1425735,0084 076,USE2020-54167,HARLEM PARK,10/14/20,10/14/20 0:00,2020,-76.64651981,39.29833507
1426058,0092 034,USE2020-50551,HARLEM PARK,2/7/20,2/7/20 0:00,2020,-76.63462422,39.29823178
1426223,0095 064,USE2019-52712,MIDTOWN-EDMONDSON,12/10/20,12/10/20 0:00,2020,-76.64807882,39.29656106
1426255,0095 096,USE2020-53496,MIDTOWN-EDMONDSON,8/31/20,8/31/20 0:00,2020,-76.6485316,39.29691091
1426886,0107 066,USE2020-53420,MIDTOWN-EDMONDSON,8/28/20,8/28/20 0:00,2020,-76.64795234,39.29533105
1426906,0107 086,USE2020-51433,MIDTOWN-EDMONDSON,6/18/20,6/18/20 0:00,2020,-76.64796515,39.29590926
1427064,0110 046,USE2020-51114,HARLEM PARK,3/3/20,3/3/20 0:00,2020,-76.64384055,39.29547886
1427302,0115 050,USE2020-54037,HARLEM PARK,12/29/20,12/29/20 0:00,2020,-76.63459832,39.29603098
1427374,0116 047,USE2020-54678,HARLEM PARK,10/23/20,10/23/20 0:00,2020,-76.63398188,39.29608697
1427725,0120 075,USE2017-51803,HARLEM PARK,10/13/20,10/13/20 0:00,2020,-76.64605474,39.29407886
1428097,0127 002,USE2020-55869,HARLEM PARK,12/29/20,12/29/20 0:00,2020,-76.63578899,39.29445088
1428322,0129 076,USE2020-52192,HARLEM PARK,6/25/20,6/25/20 0:00,2020,-76.63297622,39.29482032
1428330,0129 084,USE2020-53289,HARLEM PARK,8/5/20,8/5/20 0:00,2020,-76.63337105,39.29479991
1428331,0129 085,USE2020-50138,HARLEM PARK,9/23/20,9/23/20 0:00,2020,-76.63342034,39.29479764
1429579,0162 103,USE2019-51305,PENROSE/FAYETTE STREET OUTREACH,2/27/20,2/27/20 0:00,2020,-76.64738344,39.29164854
1429597,0162 121,USE2020-54356,PENROSE/FAYETTE STREET OUTREACH,12/4/20,12/4/20 0:00,2020,-76.64733309,39.29074047
1429778,0164 074,USE2019-56356,FRANKLIN SQUARE,5/1/20,5/1/20 0:00,2020,-76.64448415,39.29166937
1430169,0174 037,USE2020-50402,PENROSE/FAYETTE STREET OUTREACH,2/21/20,2/21/20 0:00,2020,-76.65266253,39.28947485
1430497,0178 047,USE2020-55647,FRANKLIN SQUARE,12/24/20,12/24/20 0:00,2020,-76.64607657,39.2897393
1430732,0185 017,USE2020-53854,POPPLETON,9/11/20,9/11/20 0:00,2020,-76.63482892,39.29010156
1430733,0185 018,USE2020-53828,POPPLETON,9/4/20,9/4/20 0:00,2020,-76.63487829,39.29010008
1430734,0185 019,USE2020-53855,POPPLETON,9/11/20,9/11/20 0:00,2020,-76.63492953,39.29009845
1430997,0188 070,USE2020-53527,POPPLETON,8/28/20,8/28/20 0:00,2020,-76.63093952,39.29022923
1431110,0190 049,USE2019-55749,PENROSE/FAYETTE STREET OUTREACH,7/29/20,7/29/20 0:00,2020,-76.65063017,39.28915704
1431139,0190 078,USE2020-55006,PENROSE/FAYETTE STREET OUTREACH,11/23/20,11/23/20 0:00,2020,-76.65096366,39.28850249
1431231,0192 075,USE2019-53602,PENROSE/FAYETTE STREET OUTREACH,3/17/20,3/17/20 0:00,2020,-76.64810267,39.28898749
1431249,0192 093,USE2019-55815,PENROSE/FAYETTE STREET OUTREACH,10/1/20,10/1/20 0:00,2020,-76.64757496,39.28871133
